"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
future_plan,functional_health_2019,,radio,"26) Client's Future Plans","1, Continue to live in current residence for foreseeable future | 2, Thinking about alternative arrangement/situation | 3, Needs to make other plans | 4, Other (Please describe in text box, below)",,,,,,,,,,,,
notes_27,functional_health_2019,,notes,Notes,,,,,,,,,,,,,
na_problem_list,problem_list_2019,,text,"Not Applicable- 
Client with limited concerns",,,,,,,,,,,,,
problem_list1_date_v2,problem_list_2019,,text,"REQUIRED FIELD- Date of Initial Problem List",,,date_ymd,,,,,y,,,,,
ed_visits,problem_list_2019,,checkbox,"1- Frequent ED visits or EMS calls","1, Added | 2, Being managed | 3, Resolved",,,,,,,,,,,,
ed_date_add,problem_list_2019,,text,"1) Date added",,,date_ymd,,,,"[ed_visits(1)] = '1'",y,,,,,
ed_manag_date,problem_list_2019,,text,"1) Date being managed",,,date_ymd,,,,"[ed_visits(2)] = '1'",y,,,,,
ed_date_res,problem_list_2019,,text,"1) Date resolved",,,date_ymd,,,,"[ed_visits(3)] = '1'",y,,,,,
incorrect_meds,problem_list_2019,,checkbox,"2- Not taking meds correctly","1, Added | 2, Being managed | 3, Resolved",,,,,,,,,,,,
incorrect_meds_added,problem_list_2019,,text,"2) Date added",,,date_ymd,,,,"[incorrect_meds(1)] = '1'",y,,,,,
inco_meds_manag_date,problem_list_2019,,text,"2) Date being managed",,,date_ymd,,,,"[incorrect_meds(2)] = '1'",y,,,,,
incorrect_med_res,problem_list_2019,,text,"2) Date resolved",,,date_ymd,,,,"[incorrect_meds(2)] = '1'",y,,,,,
ineff_ther,problem_list_2019,,checkbox,"3- Ineffective enactment of therapeutic recommendations (diet, exercise, wound care)","1, Added | 2, Being managed | 3, Resolved",,,,,,,,,,,,
ineff_ther_add,problem_list_2019,,text,"3) Date added",,,date_ymd,,,,"[ineff_ther(1)] = '1'",y,,,,,
ineff_ther_manag_date,problem_list_2019,,text,"3) Date being managed",,,date_ymd,,,,"[ineff_ther(2)] = '1'",y,,,,,
ineffe_ther_res,problem_list_2019,,text,"3) Date resolved",,,date_ymd,,,,"[ineff_ther(2)] = '1'",y,,,,,
sympt_manag,problem_list_2019,,checkbox,"4- Symptom(s) not well controlled (pain, SOB, nausea, sleep disturbance, constipation, vital signs, hydration)","1, Added | 2, Being managed | 3, Resolved",,,,,,,,,,,,
sympt_manag_add,problem_list_2019,,text,"4) Date added",,,date_ymd,,,,"[sympt_manag(1)] = '1'",y,,,,,
sympt_manag_manag_date,problem_list_2019,,text,"4) Date being managed",,,date_ymd,,,,"[sympt_manag(2)] = '1'",y,,,,,
sumpy_manag_res,problem_list_2019,,text,"4) Date resolved",,,date_ymd,,,,"[sympt_manag(2)] = '1'",y,,,,,
frailty,problem_list_2019,,checkbox,"5- Frailty","1, Added | 2, Being managed | 3, Resolved",,,,,,,,,,,,
frail_add,problem_list_2019,,text,"5) Date added",,,date_ymd,,,,"[frailty(1)] = '1'",y,,,,,
frailty_manag_date,problem_list_2019,,text,"5) Date being managed",,,date_ymd,,,,"[frailty(2)] = '1'",y,,,,,
frail_res,problem_list_2019,,text,"5) Date resolved",,,date_ymd,,,,"[frailty(2)] = '1'",y,,,,,
impair_cog,problem_list_2019,,checkbox,"6- Impaired cognitive functioning, poor decision making, and/or problem solving","1, Added | 2, Being managed | 3, Resolved",,,,,,,,,,,,
impair_cog_add,problem_list_2019,,text,"6) Date added",,,date_ymd,,,,"[impair_cog(1)] = '1'",y,,,,,
impair_cog_manag_date,problem_list_2019,,text,"6) Date being managed",,,date_ymd,,,,"[impair_cog(2)] = '1'",y,,,,,
impar_cog_res,problem_list_2019,,text,"6) Date resolved",,,date_ymd,,,,"[impair_cog(2)] = '1'",y,,,,,
ment_heal,problem_list_2019,,checkbox,"7- Mental health issue, depression, anxiety or substance abuse","1, Added | 2, Being managed | 3, Resolved",,,,,,,,,,,,
ment_heal_add,problem_list_2019,,text,"7) Date added",,,date_ymd,,,,"[ment_heal(1)] = '1'",y,,,,,
ment_heal_manag_date,problem_list_2019,,text,"7) Date being managed",,,date_ymd,,,,"[ment_heal(2)] = '1'",y,,,,,
ment_heal_res,problem_list_2019,,text,"7) Date resolved",,,date_ymd,,,,"[ment_heal(2)] = '1'",y,,,,,
self_care_prob_list,problem_list_2019,,checkbox,"8- Self-care deficit in performing ADLs","1, Added | 2, Being managed | 3, Resolved",,,,,,,,,,,,
self_care_added,problem_list_2019,,text,"8) Date added",,,date_ymd,,,,"[self_care_prob_list(1)] = '1'",y,,,,,
self_care_manag_date,problem_list_2019,,text,"8) Date being managed",,,date_ymd,,,,"[self_care_prob_list(2)] = '1'",y,,,,,
self_care_res,problem_list_2019,,text,"8) Date resolved",,,date_ymd,,,,"[self_care_prob_list(3)] = '1'",y,,,,,
imp_phys_mob,problem_list_2019,,checkbox,"9- Impaired physical mobility","1, Added | 2, Being managed | 3, Resolved",,,,,,,,,,,,
imp_phys_mob_add,problem_list_2019,,text,"9) Date added",,,date_ymd,,,,"[imp_phys_mob(1)] = '1'",y,,,,,
imp_phys_manag_date,problem_list_2019,,text,"9) Date being managed",,,date_ymd,,,,"[imp_phys_mob(2)] = '1'",y,,,,,
imp_phy_mob_res,problem_list_2019,,text,"9) Date resolved",,,date_ymd,,,,"[imp_phys_mob(2)] = '1'",y,,,,,
fall,problem_list_2019,,checkbox,"10- Fall risk","1, Added | 2, Being managed | 3, Resolved",,,,,,,,,,,,
fall_add,problem_list_2019,,text,"10) Date added",,,date_ymd,,,,"[fall(1)] = '1'",y,,,,,
fall_manag_date,problem_list_2019,,text,"10) Date being managed",,,date_ymd,,,,"[fall(2)] = '1'",y,,,,,
fall_res,problem_list_2019,,text,"10) Date resolved",,,date_ymd,,,,"[fall(2)] = '1'",y,,,,,
stay_home,problem_list_2019,,checkbox,"11- Wants to live at home but struggling to do so or anticipates difficulty doing so","1, Added | 2, Being managed | 3, Resolved",,,,,,,,,,,,
stay_home_add,problem_list_2019,,text,"11) Date added",,,date_ymd,,,,"[stay_home(1)] = '1'",y,,,,,
stay_home_manag_date,problem_list_2019,,text,"11) Date being managed",,,date_ymd,,,,"[stay_home(2)] = '1'",y,,,,,
stay_home_res,problem_list_2019,,text," 11) Date resolved",,,date_ymd,,,,"[stay_home(2)] = '1'",y,,,,,
prob_bills,problem_list_2019,,checkbox,"12- Problems with bills, insurance paperwork, enrollments","1, Added | 2, Being managed | 3, Resolved",,,,,,,,,,,,
prob_bills_add,problem_list_2019,,text,"12) Date added",,,date_ymd,,,,"[prob_bills(1)] = '1'",y,,,,,
prob_bills_manag_date,problem_list_2019,,text,"12) Date being managed",,,date_ymd,,,,"[prob_bills(2)] = '1'",y,,,,,
prob_bills_res,problem_list_2019,,text,"12) Date resolved",,,date_ymd,,,,"[prob_bills(3)] = '1'",y,,,,,
stress_trans,problem_list_2019,,checkbox,"13- Anticipated stressful transition to another level of care","1, Added | 2, Being managed | 3, Resolved",,,,,,,,,,,,
stres_trans_add,problem_list_2019,,text,"13) Date added",,,date_ymd,,,,"[stress_trans(1)] = '1'",y,,,,,
stess_trans_manag_date,problem_list_2019,,text,"13) Date being managed",,,date_ymd,,,,"[stress_trans(2)] = '1'",y,,,,,
stress_trans_res,problem_list_2019,,text,"13) Date resolved",,,date_ymd,,,,"[stress_trans(3)] = '1'",y,,,,,
incom_acp,problem_list_2019,,checkbox,"14- Incomplete end of life planning and documentation","1, Added | 2, Being managed | 3, Resolved",,,,,,,,,,,,
incom_acp_date_added,problem_list_2019,,text,"14) Date added",,,date_ymd,,,,"[incom_acp(1)] = '1'",y,,,,,
incom_acp_manag_date,problem_list_2019,,text,"14) Date being managed",,,date_ymd,,,,"[incom_acp(2)] = '1'",y,,,,,
incom_acp_date_reso,problem_list_2019,,text,"14) Date resolved",,,date_ymd,,,,"[incom_acp(3)] = '1'",y,,,,,
other_prob_list,problem_list_2019,,checkbox,"15- Other problems (Specify in the comment bubble)","1, Added | 2, Being managed | 3, Resolved",,,,,,,,,,,,
other_prob_add,problem_list_2019,,text,"15) Date added",,,date_ymd,,,,"[other_prob_list(1)] = '1'",y,,,,,
other_prob_manag_date,problem_list_2019,,text,"15) Date being managed",,,date_ymd,,,,"[other_prob_list(2)] = '1'",y,,,,,
other_prob_res,problem_list_2019,,text,"15) Date resolved",,,date_ymd,,,,"[other_prob_list(2)] = '1'",y,,,,,
sdoh_iso,problem_list_2019,"16- SOCIAL DETERMINANTS OF HEALTH",checkbox,"16a. Social isolation","1, Added | 2, Being managed | 3, Resolved",,,,,,,,,,,,
soc_iso_2,problem_list_2019,,text,"16a) Date added",,,date_ymd,,,,"[sdoh_iso(1)] = '1'",y,,,,,
soc_iso_manag_date,problem_list_2019,,text,"16a) Date being managed",,,date_ymd,,,,"[sdoh_iso(2)] = '1'",y,,,,,
soc_iso_date_resol,problem_list_2019,,text,"16a) Date resolved",,,date_ymd,,,,"[sdoh_iso(3)] = '1'",y,,,,,
nutr_poor,problem_list_2019,,checkbox,"16b. Nutrition, poor","1, Added | 2, Being managed | 3, Resolved",,,,,,,,,,,,
nutr_poor_date_add,problem_list_2019,,text,"16b) Date added",,,date_ymd,,,,"[nutr_poor(1)] = '1'",y,,,,,
nutr_poor_manag_date,problem_list_2019,,text,"16b) Date being managed",,,date_ymd,,,,"[nutr_poor(2)] = '1'",y,,,,,
nutr_poor_res_date,problem_list_2019,,text,"16b) Date resolved",,,date_ymd,,,,"[nutr_poor(3)] = '1'",y,,,,,
hous_def,problem_list_2019,,checkbox,"16c- Housing, deficient  ","1, Added | 2, Being managed | 3, Resolved",,,,,,,,,,,,
hous_added,problem_list_2019,,text,"16c) Date added",,,date_ymd,,,,"[hous_def(1)] = '1'",y,,,,,
hous_manag_date,problem_list_2019,,text,"16c) Date being managed",,,date_ymd,,,,"[hous_def(2)] = '1'",y,,,,,
hous_res_date,problem_list_2019,,text,"16c) Date resolved",,,date_ymd,,,,"[hous_def(3)] = '1'",y,,,,,
sdoh_transp,problem_list_2019,,checkbox,"16d. Transportation, lack","1, Added | 2, Being managed | 3, Resolved",,,,,,,,,,,,
trans_date_add,problem_list_2019,,text,"16d) Date added",,,date_ymd,,,,"[sdoh_transp(1)] = '1'",y,,,,,
trans_manag_date,problem_list_2019,,text,"16d) Date being managed",,,date_ymd,,,,"[sdoh_transp(2)] = '1'",y,,,,,
trans_date_resol,problem_list_2019,,text,"16d) Date resolved",,,date_ymd,,,,"[sdoh_transp(2)] = '1'",y,,,,,
sdoh_finance,problem_list_2019,,checkbox,"16e. Finances, struggling/inadequate","1, Added | 2, Being managed | 3, Resolved",,,,,,,,,,,,
finance_date_add,problem_list_2019,,text,"16e) Date added",,,date_ymd,,,,"[sdoh_finance(1)] = '1'",y,,,,,
finance_manag_date,problem_list_2019,,text,"16e) Date being managed",,,date_ymd,,,,"[sdoh_finance(2)] = '1'",y,,,,,
finance_date_resol,problem_list_2019,,text,"16e) Date resolved",,,date_ymd,,,,"[sdoh_finance(2)] = '1'",y,,,,,
sdoh_other_2,problem_list_2019,,checkbox,"16f- Other (Please specify in the comment bubble)","1, Added | 2, Being managed | 3, Resolved",,,,,,,,,,,,
sdoh_other_date_add,problem_list_2019,,text,"16f) Date added",,,date_ymd,,,,"[sdoh_other_2(1)] = '1'",y,,,,,
sdoh_other_manag,problem_list_2019,,text,"16f) Date being managed",,,date_ymd,,,,"[sdoh_other_2(2)] = '1'",y,,,,,
other_sdh_date_resol,problem_list_2019,,text,"16f) Date resolved",,,date_ymd,,,,"[sdoh_other_2(3)] = '1'",,,,,,
allerg,problem_list_2019,,yesno,"17- Allergies (please specify in the text box below)",,,,,,,,,,,,,
notes_56,problem_list_2019,,notes,Notes,,,,,,,,,,,,,
med_diag_list_v2_v2_v2,problem_list_2019,,notes,"18- List medical diagnoses",,,,,,,,,,,,,
goals_prob_cleint,problem_list_2019,"19- GOALS",notes,"19a) Client's goals",,,,,,,,,,,,,
cg_prob_goals,problem_list_2019,,notes,"19b) Caregiver's goals",,,,,,,,,,,,,
nurse_prob_goals,problem_list_2019,,notes,"19c) Nurse's goals",,,,,,,,,,,,,
date_int,plan_of_care_initial_interventions_2019,,text,"REQUIRED FIELD- TODAY'S DATE",,,date_ymd,,,,,y,,,,,
ini_int_date,plan_of_care_initial_interventions_2019,,text,"Date of initial interventions",,,date_ymd,,,,,y,,,,,
contact_pcp_v2,plan_of_care_initial_interventions_2019,"1- CARE COORDINATION",yesno,"1a)  Contact PCP?",,,,,,,,,,,,,
pcp_for_v2_v2,plan_of_care_initial_interventions_2019,,checkbox,"1b) Contact PCP:","1, For Symptom Management | 2, To be seen | 3, Medication or care clarification | 4, Worsening condition | 5, Discuss referral to VNA, Hospice,  PT | 6, Other (Please describe in text box, below)",,,,,,"[contact_pcp_v2] = '1'",y,,,,,
notes_28,plan_of_care_initial_interventions_2019,,notes,Notes,,,,,,,,,,,,,
spec_care_v2,plan_of_care_initial_interventions_2019,,yesno,"1c)  Contact Specialty Providers (Use comment bubble)",,,,,,,,,,,,,
ref_v2,plan_of_care_initial_interventions_2019,,text,"1d) Referral",,,,,,,,,,,,,
med_interv_v2,plan_of_care_initial_interventions_2019,"2- MEDICATION-RELATED INTERVENTIONS",checkbox,"Check all that apply","1, Educate re medications and how to take them | 2, Fill pill box(es) | 3, Help to obtain medications | 4, Monitor medication adherence | 5, Other (Please describe in text box, below)",,,,,,,,,,,,
notes_29,plan_of_care_initial_interventions_2019,,notes,Notes,,,,,,,,,,,,,
sympt_interv_v2,plan_of_care_initial_interventions_2019,"3- SYMPTOM-RELATED INTERVENTION",checkbox,"Check all that apply","1, Teach re symptom management and monitor symptoms over time | 2, Reassure client and make recommendations re anxiety, depression, sleep, and mental health concerns | 3, Instruct and reassure re: what to do if s/he needs emergency help | 4, Give/ recommend and discuss educational materials re: health maintenance, medical conditions, and related resources | 5, Monitor BP, heart rate, SOB, weight, blood sugar level, pulse, oxygen, hydration | 6, Other (Please describe in text box, below)",,,,,,,,,,,,
notes_30,plan_of_care_initial_interventions_2019,,notes,Notes,,,,,,,,,,,,,
mob_interv_v2,plan_of_care_initial_interventions_2019,"4- ADLs &  MOBILITY-RELATED INTERVENTIONS",checkbox,"Check all that apply","1, Teach client self-care r/t incontinence, bowel problems, dressing and hygiene | 2, Teach and make recommendations re: mobility, activity, and/or exercise | 3, Obtain durable medical equipment and instruct on usage | 4, Make recommendations to reduce fall risk | 5, Point out and make suggestions re: environmental safety risks | 6, Other (Please describe in text box, below)",,,,,,,,,,,,
notes_31,plan_of_care_initial_interventions_2019,,notes," Notes",,,,,,,,,,,,,
cg_fam_interv_v2,plan_of_care_initial_interventions_2019,"5- FAMILY & CAREGIVER-RELATED INTERVENTIONS",checkbox,"Check all that apply","1, Support family/care giver(s) with family member who is frail or has a cognitive deficit | 2, Facilitate family dialogue re caregiving decisions & strategies | 3, Discuss and plan respite for care giver | 4, Coordinate a care setting transition | 5, Other (Please describe in text box, below)",,,,,,,,,,,,
notes_32,plan_of_care_initial_interventions_2019,,notes,Notes,,,,,,,,,,,,,
house_fina_food_interv_v2,plan_of_care_initial_interventions_2019,"6- SUPPORT SERVICES & IADL  INTERVENTIONS  ",checkbox,"Check all that apply","1, Discuss options for getting help with household tasks (shopping, cleaning, food prep, house repairs) | 2, Suggest or arrange socialization opportunities | 3, Identify resources for help with transportation | 4, Address food insecurity | 5, Address housing inadequacy | 6, Facilitate getting help for finances, legal documents, taxes | 7, Initiate advance planning discussions and document completion | 8, Advise re immunizations | 9, Other (Please describe in text box, below)",,,,,,,,,,,,
notes_33,plan_of_care_initial_interventions_2019,,notes,Notes,,,,,,,,,,,,,
other_interv_notabove,plan_of_care_initial_interventions_2019,,text,"7- OTHER
",,,,,,,,,,,,,
fu_list_v2,plan_of_care_initial_interventions_2019,"8- FOLLOW UP",checkbox,"Check all that apply","1, Future home visits | 2, Phone/email | 3, No future contact indicated | 4, Other (Please describe in text box, below)",,,,,,,,,,,,
notes_34,plan_of_care_initial_interventions_2019,,notes,Notes,,,,,,,,,,,,,
today_date_v2,interval_contacts_2019,,text,"REQUIRED FIELD- TODAY'S DATE",,,date_ymd,,,,,y,,,,,
cont_meth_v2,interval_contacts_2019,,checkbox,"1- Contact method","1, Home visit | 2, Phone | 3, email | 4, Family meeting | 5, Office hours | 6, Meeting at hospital | 7, Meeting at ALF/ Nursing home/ Rehab | 8, Meeting at family PCP office | 9, About town | 10, Other (Please describe in text box, below)",,,,,,,,,,,,
notes_57,interval_contacts_2019,,notes,Notes,,,,,,,,,,,,,
cont_asses,interval_contacts_2019,,yesno,"2- Continuation of Assessment",,,,,,,,,,,,,
concerns1_v2,interval_contacts_2019,,checkbox,"3- Concerns, issues raised by","1, Client | 2, Family | 3, Neighbor | 4, PCP | 5, Nurse | 6, Other (Please describe in text box, below)",,,,,,,,,,,,
notes_35,interval_contacts_2019,,notes,Notes,,,,,,,,,,,,,
list_issues,interval_contacts_2019,,notes,"3a) Please list concerns/issues",,,,,,,"[concerns1_v2(1)] = '1' or [concerns1_v2(2)] = '1' or [concerns1_v2(3)] = '1' or [concerns1_v2(4)] = '1' or [concerns1_v2(5)] = '1' or [concerns1_v2(6)] = '1'",,,,,,
phys_cond_nursescale,interval_contacts_2019," NURSE'S IMPRESSION SINCE LAST VISIT",radio,"4a) Physical condition ","1, Declined | 2, Unchanged | 3, Improved",,,,,,,,,,,,
emot_stat_nursescale,interval_contacts_2019,,radio,"4b) Emotional status ","1, Declined | 2, Unchanged | 3, Improved",,,,,,,,,,,,
cog_stat_nursescale,interval_contacts_2019,,radio,"4c) Cognitive status","1, Declined | 2, Unchanged | 3, Improved",,,,,,,,,,,,
notes_48,interval_contacts_2019,,notes,Notes,,,,,,,,,,,,,
fall_sincelast,interval_contacts_2019,FALLS,yesno,"5- Fall since last visit?",,,,,,,,,,,,,
hospit_since_last,interval_contacts_2019,HOSPITALIZATION,yesno,"6- Hospitalized since last visit",,,,,,,,,,,,,
care_plan_update,interval_contacts_2019,"PLAN OF CARE",yesno,"7a) Plan of Care update",,,,,,,,,,,,,
update_plan,interval_contacts_2019,,checkbox,"7b) Check updates","1, New medication (update medication list) | 2, New problem (update problem list) | 3, New interventions (see list below) | 4, New goal (specify in the comment bubble)",,,,,,"[care_plan_update] = '1'",,,,,,
interv_list_heading,interval_contacts_2019,,descriptive,"----------------------INTERVENTION LIST-------------------------",,,,,,,,,,,,,
contact_pcp,interval_contacts_2019,"CARE COORDINATION INTERVENTIONS",yesno,"8a)  Contact PCP?",,,,,,,,,,,,,
pcp_for_v2,interval_contacts_2019,,checkbox,"8b) Contact PCP:","1, For Symptom Management | 2, To be seen | 3, Medication or care clarification | 4, Worsening condition | 5, Discuss referral to VNA, Hospice,  PT | 6, Other (Please describe in text box, below)",,,,,,"[contact_pcp] = '1'",y,,,,,
notes_36,interval_contacts_2019,,notes,Notes,,,,,,,,,,,,,
spec_care,interval_contacts_2019,,yesno,"8c)  Contact Specialty Providers (Use comment bubble)",,,,,,,,,,,,,
ref,interval_contacts_2019,,text,"8d) Referral",,,,,,,,,,,,,
med_interv,interval_contacts_2019,"MEDICATION-RELATED INTERVENTIONS",checkbox,"9- Check all that apply","1, Educate re medications and how to take them | 2, Fill pill box(es) | 3, Help to obtain medications | 4, Monitor medication adherence | 5, Change in medications | 6, Other (Please describe in text box, below)",,,,,,,,,,,,
notes_37,interval_contacts_2019,,notes,Notes,,,,,,,,,,,,,
sympt_interv,interval_contacts_2019,"SYMPTOM-RELATED INTERVENTIONS",checkbox,"10- Check all that apply","1, Teach re symptom management and monitor symptoms over time | 2, Reassure client and make recommendations re anxiety, depression, sleep, and mental health concerns | 3, Instruct and reassure re: what to do if s/he needs emergency help | 4, Give/ recommend and discuss educational materials re: health maintenance, medical conditions, and related resources | 5, Monitor BP, heart rate, SOB, weight, blood sugar level, pulse, oxygen, hydration | 6, Other (Please describe in text box, below)",,,,,,,,,,,,
notes_38,interval_contacts_2019,,notes,Notes,,,,,,,,,,,,,
mob_interv,interval_contacts_2019,"ADLs & MOBILITY-RELATED INTERVENTIONS",checkbox,"11- Check all that apply","1, Teach client self-care r/t incontinence, bowel problems, dressing and hygiene | 2, Teach and make recommendations re: mobility, activity, and/or exercise | 3, Obtain durable medical equipment and instruct on usage | 4, Make recommendations to reduce fall risk | 5, Point out and make suggestions re: environmental safety risks | 6, Other (Please describe in text box, below)",,,,,,,,,,,,
notes_39,interval_contacts_2019,,notes,Notes,,,,,,,,,,,,,
cg_fam_interv,interval_contacts_2019," FAMILY & CAREGIVER-RELATED INTERVENTIONS",checkbox,"12- Check all that apply","1, Support family/care giver(s) with family member who is frail or has a cognitive deficit | 2, Facilitate family dialogue re caregiving decisions & strategies | 3, Discuss and plan respite for care giver | 4, Coordinate a care setting transition | 5, Other (Please describe in text box, below)",,,,,,,,,,,,
notes_40,interval_contacts_2019,,notes,Notes,,,,,,,,,,,,,
house_fina_food_interv,interval_contacts_2019,"SUPPORT SERVICES & IADLs INTERVENTIONS  ",checkbox,"13- Check all that apply","1, Discuss options for getting help with household tasks (shopping, cleaning, food prep, house repairs) | 2, Suggest or arrange socialization opportunities | 3, Identify resources for help with transportation | 4, Address food insecurity | 5, Address housing inadequacy    [New] | 6, Facilitate getting help for finances, legal documents, taxes | 7, Initiate advance planning discussions and document completion | 8, Advise re immunizations | 9, Other (Please describe in text box, below)",,,,,,,,,,,,
notes_41,interval_contacts_2019,,notes,Notes,,,,,,,,,,,,,
other_interv_not_listed,interval_contacts_2019,,text,"14- OTHER INTERVENTIONS

 ",,,,,,,,,,,,,
fu_list,interval_contacts_2019," FOLLOW UP",checkbox,"15- Check all that apply","1, Future home visits | 2, Phone/email | 3, No future contact indicated | 4, Other (Please describe in text box, below)",,,,,,,,,,,,
notes_42,interval_contacts_2019,,notes,Notes,,,,,,,,,,,,,
date_sixmonth,month_report_2019,,text,"REQUIRED FIELD- 6-MONTH/INTERVAL ASSESSMENT REPORT DATE",,required,date_ymd,,,,,y,,,,,
client_answer_v2,month_report_2019,"1- CLIENT REPORT: Please ask these questions as written",dropdown,"1a) Is the client able to answer the following questions (1a-f)?","1, Yes | 2, No",,,,,,,,,,,,
meds_client_before_v2,month_report_2019,,dropdown,"1b) Do you think you take your medications accurately?","1, Definitely Yes | 2, Not Sure | 3, Probably not | 4, Given by caregiver",,,,,,"[client_answer_v2] = '1'",,,,,,
cliebnt_home_before_v2,month_report_2019,,dropdown,"1c) How would you describe your ability to get around and do things safely in your home?","1, Very Good | 2, Okay | 3, Not Good",,,,,,"[client_answer_v2] = '1'",,,,,,
client_anx_before_v2,month_report_2019,,dropdown,"1d) How often are you anxious or fearful about your health and well-being?","1, Often | 2, Sometimes | 3, Not often",,,,,,"[client_answer_v2] = '1'",,,,,,
clients_daily_before_v2,month_report_2019,,dropdown,"1e) Are your daily needs being met?","1, Yes, on my own | 2, Yes, with some help from other | 3, No, not really",,,,,,"[client_answer_v2] = '1'",,,,,,
what_matters_patient_v2,month_report_2019,,notes,"1f) What matters most to you in your life right now?",,,,,,,"[client_answer_v2] = '1'",,,,,,
care_giver_v2,month_report_2019,"2- CAREGIVER REPORT: Please ask these questions as written",dropdown,"2a) Is there a caregiver for this client?","1, Yes | 2, No",,,,,,,,,,,,
who_care_v2,month_report_2019,,notes,"2b) Who is the caregiver?",,,,,,,"[care_giver_v2] = '1'",,,,,,
cg_func_before_v2,month_report_2019,,dropdown,"2c) Over the last few months has  ______'s ability to function in daily life improved?","1, Yes | 2, No, but decline being managed | 3, No, declined (lost ground)",,,,,,"[care_giver_v2] = '1'",,,,,,
cg_basic_before_v2,month_report_2019,,dropdown,"2d) Do you think ______ is safe and her/his basic needs are met with current supports in place?","1, Yes | 2, As much as possible | 3, No",,,,,,"[care_giver_v2] = '1'",,,,,,
cg_conf_before_v2,month_report_2019,,dropdown,"2e) Are you feeling confident in caring for ________?","1, Definitely yes | 2, Somewhat | 3, No, not really",,,,,,"[care_giver_v2] = '1'",,,,,,
cg_fatig_before_v2,month_report_2019,,dropdown,"2f) Do your caregiving responsibilities cause you to feel fatigued, depressed, or burdened?","1, Yes | 2, Sometimes | 3, No",,,,,,"[care_giver_v2] = '1'",,,,,,
cg_what_matters_v2,month_report_2019,,notes,"2g) As a caregiver, what matters most to you?",,,,,,,"[care_giver_v2] = '1'",,,,,,
phys_con_6_month,month_report_2019,"3- NURSE'S ASSESSMENT ",radio,"3a) Physical condition","1, Declined | 2, Unchanged | 3, Improved",,,,,,,,,,,,
emot_6_mont,month_report_2019,,radio,"3b) Emotional status","1, Declined | 2, Unchanged | 3, Improved",,,,,,,,,,,,
cog_6_mont,month_report_2019,,radio,"3c) Cognitive status","1, Declined | 2, Unchanged | 3, Improved",,,,,,,,,,,,
notes_47,month_report_2019,,notes,Notes,,,,,,,,,,,,,
nurse_out_6_mont,month_report_2019," 4- NURSE'S REPORTED OUTCOMES",checkbox,"4a) Check all that apply","1, Decreased risk of falls | 2, Improved cognitive function, less confusion | 3, Prevented medication-related, adverse outcomes or ineffective therapeutic effect | 4, Helped client and/or family to be less anxious about dealing with their situation | 5, Helped improve client's management of illness symptoms | 6, Prevented E.D visit/Re-hospitalization/ Fast squad or Fire Department calls | 7, Improved client's functioning in daily life | 8, Enabled client to continue living in home for at least 6 months | 9, Other (Please describe in text box, below)",,,,,,,,,,,,
notes_43,month_report_2019,,notes,Notes,,,,,,,,,,,,,
fu_6month,month_report_2019,"FOLLOW UP",checkbox,"5- Check all that apply","1, Future home visits | 2, Phone/email | 3, No future contact indicated | 4, Other (Please describe in text box, below)",,,,,,,,,,,,
notes_44,month_report_2019,,notes,Notes,,,,,,,,,,,,,
date_today_dis,discharge_report_2019,,text,"1) REQUIRED FIELD- DISCHARGE DATE",,,date_ymd,,,,,,,,,,
reason_disch,discharge_report_2019,,radio,"1a) Reason for discharge","1, Services no longer needed | 2, Services not wanted | 3, Death | 4, Moved away from Service Area | 5, Other (Please describe in text box, below)",,,,,,,,,,,,
notes_45,discharge_report_2019,,notes,Notes,,,,,,,,,,,,,
disc_status,discharge_report_2019,,radio,"1b) Status at discharge","1, Situation improved or changed for the better | 2, Transferred to assisted living or long term care setting | 3, Moved | 4, Died | 5, Declined further service | 6, N/A",,,,,,,,,,,,
phys,discharge_report_2019," NURSE'S ASSESSMENT AT DISCHARGE
",radio,"2a) Physical condition","1, Declined | 2, Unchanged | 3, Improved",,,,,,,,,,,,
emotion,discharge_report_2019,,radio,"2b) Emotional status","1, Declined | 2, Unchanged | 3, Improved",,,,,,,,,,,,
cog_stat,discharge_report_2019,,radio,"2c) Cognitive status","1, Declined | 2, Unchanged | 3, Improved",,,,,,,,,,,,
notes_49,discharge_report_2019,,notes,Notes,,,,,,,,,,,,,
nurse_report_all,discharge_report_2019,"NURSE'S REPORTED OUTCOMES",checkbox,"3-  Check all that apply","1, Prevented medication-related, adverse outcomes or ineffective therapeutic effect | 2, Helped client and/or family to be less anxious about dealing with their situation | 3, Helped improve client's management of illness symptoms | 4, Prevented E.D visit/Re-hospitalization/ Fast squad or Fire Department calls | 5, Improved client's functioning in daily life | 6, Enabled client to continue living in home for at least 6 months | 7, Other (Please describe in text box, below)",,,,,,,,,,,,
notes_46,discharge_report_2019,,notes,Notes,,,,,,,,,,,,,
client_status_2,discharge_report_2019,"CLIENT REPORT",dropdown,"4- Is client able to answer the following questions (4a-e)? ","1, Yes | 2, No",,,,,,,y,,,,,
